600201: Battle_of_Aydin
600202: Battle_of_Aydın
600203: Battle_of_Aylesbury
600204: Battle_of_Aylesford
600205: Battle_of_Ayn_Jalut
600206: Battle_of_Ayohuma
600207: Battle_of_Ayraepaeae
600208: Battle_of_Ayraepaeae-Vuosalmi
600209: Battle_of_Ayrapaa
600210: Battle_of_Ayrapaa-Vuosalmi
600211: Battle_of_Ayshal
600212: Battle_of_Ayta_al-Sha`b
600213: Battle_of_Ayta_ash-Shab
600214: Battle_of_Azamor
600215: Battle_of_Azanulbizar
600216: Battle_of_Azaz
600217: Battle_of_Azemmour
600218: Battle_of_Azincourt
600219: Battle_of_Azukizaka
600220: Battle_of_Azukizaka_(1542)
600221: Battle_of_Azukizaka_(1564)
600222: Battle_of_Añaquito
600223: Battle_of_Ba'rin
600224: Battle_of_Ba_Gia
600225: Battle_of_Ba_Xi
600226: Battle_of_Bacente
600227: Battle_of_Bach_Dang
600228: Battle_of_Bach_Dang_(1288)
600229: Battle_of_Bach_Dang_(939)
600230: Battle_of_Bach_Dang_(981)
600231: Battle_of_Bach_Dang_River_(938)
600232: Battle_of_Bad_Axe
600233: Battle_of_Badajoz
600234: Battle_of_Badajoz_(1812)
600235: Battle_of_Badajoz_(1936)
600236: Battle_of_Badaxe
600237: Battle_of_Baden_Hill
600238: Battle_of_Badenberg
600239: Battle_of_Badenburg
600240: Battle_of_Badh_na_Fola
600241: Battle_of_Badli-ki-Serai
600242: Battle_of_Badoeng_Strait
600243: Battle_of_Badon
600244: Battle_of_Badon_Hill
600245: Battle_of_Badr
600246: Battle_of_Badung_Strait
600247: Battle_of_Baecula
600248: Battle_of_Baek-gang
600249: Battle_of_Baekgang
600250: Battle_of_Baekgang-gu
600251: Battle_of_Baesweiler
600252: Battle_of_Bagan
600253: Battle_of_Bagbrades
600254: Battle_of_Baghdad
600255: Battle_of_Baghdad_(1258)
600256: Battle_of_Baghdad_(1917)
600257: Battle_of_Baghdad_(2003)
600258: Battle_of_Bagradas_River
600259: Battle_of_Bagradas_River_(49_BC)
600260: Battle_of_Baguashan
600261: Battle_of_Bai_ju
600262: Battle_of_Baia
600263: Battle_of_Baideng
600264: Battle_of_Baidoa
600265: Battle_of_Baiju
600266: Battle_of_Bailen
600267: Battle_of_Bailén
600268: Battle_of_Bairoko
600269: Battle_of_Bajaur
600270: Battle_of_Bajaur_1519
600271: Battle_of_Bajor
600272: Battle_of_Bakhchisaray
600273: Battle_of_Bakhmach
600274: Battle_of_Baksar
600275: Battle_of_Baku
600276: Battle_of_Bakura
600277: Battle_of_Balaclava
600278: Battle_of_Balaklava
600279: Battle_of_Balanjar
600280: Battle_of_Balanjar_(650s)
600281: Battle_of_Balanjar_(650s_CE)
600282: Battle_of_Balanjar_(723)
600283: Battle_of_Balanjar_(723_CE)
600284: Battle_of_Balanjar_(730s)
600285: Battle_of_Balanjar_(730s_CE)
600286: Battle_of_Balasita
600287: Battle_of_Balathista
600288: Battle_of_Bali_Sea
600289: Battle_of_Balikpapan
600290: Battle_of_Balikpapan_(1942)
600291: Battle_of_Balikpapan_(1945)
600292: Battle_of_Balinvegga
600293: Battle_of_Baliqiao
600294: Battle_of_Ball's_Bluff
600295: Battle_of_Ballantyne_Pier
600296: Battle_of_Ballast_Point
600297: Battle_of_Ballinalee
600298: Battle_of_Ballinamuck
600299: Battle_of_Ballon
600300: Battle_of_Balls_Bluff
600301: Battle_of_Ballyellis
600302: Battle_of_Ballymore-Eustace
